person_name,person_wikidata_id,person_description,role,organization,org_wikidata_id,start_year,end_year,viaf_id,isiscb_id,cb_viaf_id,match_method,match_source
François Thureau-Dangin,Q1352388,French archaeologist (1872–1944),member/fellow,International Academy of the History of Science,Q337449,,,36997775,CBA174785671,https://viaf.org/viaf/36997775,viaf,member
Frederick Gregory,Q107232557,American historian of science,member/fellow,International Academy of the History of Science,Q337449,,,112217868,CBA000039876,,name,member
Frederick Poynter,Q18922261,librarian and medical historian (1908-1979),member/fellow,International Academy of the History of Science,Q337449,,,61586489,CBA000081515,,name,member
Friedrich Klemm,Q1460417,German librarian and historian of technology (1904–1983),member/fellow,International Academy of the History of Science,Q337449,,,110813438,CBA000054415,,name,member
Fritz Saaby Pedersen,Q93260480,Danish classical philologist (1945-2016),member/fellow,International Academy of the History of Science,Q337449,,,36913351,CBA000078270,,name,member
Garegin Petrosyan,Q13052523,Russian mathematician (1902-1997),member/fellow,International Academy of the History of Science,Q337449,,,54477885,,,,member
Gaston Bachelard,Q270800,French writer and philosopher (1884-1962),member/fellow,International Academy of the History of Science,Q337449,,,4926151,CBA000004168,,name,member
Georg Sticker,Q1262360,German medical historian (1860-1960),member/fellow,International Academy of the History of Science,Q337449,,,54956588,CBA000098505,http://viaf.org/viaf/54956588,viaf,member
Georg Urdang,Q28976436,1882-1960,member/fellow,International Academy of the History of Science,Q337449,,,89859977,CBA000104367,,name,member
Georg Uschmann,Q15906550,German university teacher (1913-1986),member/fellow,International Academy of the History of Science,Q337449,,,64800464,CBA000104407,,name,member
George Sarton,Q1316061,Belgian-American historian of science (1884–1956),member/fellow,International Academy of the History of Science,Q337449,,,64049239,CBA000089873,http://viaf.org/viaf/64049239,viaf,member
Georges Canguilhem,Q433741,French philosopher (1904-1995),member/fellow,International Academy of the History of Science,Q337449,,,41837558,CBA000015926,http://viaf.org/viaf/41837558,viaf,member
Gerald James Whitrow,Q3710220,British mathematician and historian of science (1912-2000),member/fellow,International Academy of the History of Science,Q337449,,,89601264,CBA000109432,,name,member
Gino Loria,Q926791,Italian mathematician (1862-1954),member/fellow,International Academy of the History of Science,Q337449,,,113543468,CBA055761891,http://viaf.org/viaf/113543468,viaf,member
Giorgio Israel,Q17351969,Italian mathematician (1945-2015),member/fellow,International Academy of the History of Science,Q337449,,,212557746,CBA000049262,,name,member
Giorgio Levi Della Vida,Q387029,Italian linguist and historian (1886–1967),member/fellow,International Academy of the History of Science,Q337449,,,14764795,,,,member
Giorgio de Santillana,Q186194,American historian and philosopher,member/fellow,International Academy of the History of Science,Q337449,,,85179909,,,,member
Giovanni Polvani,Q3767965,Italian physicist and mathematician (1892-1970),member/fellow,International Academy of the History of Science,Q337449,,,90172124,CBA996519352,http://viaf.org/viaf/90172124,viaf,member
Giovanni Vacca,Q1394744,Italian mathematician and sinologist (1872–1953),member/fellow,International Academy of the History of Science,Q337449,,,90248804,CBA000104475,,name,member
Goulven Laurent,Q20752990,,member/fellow,International Academy of the History of Science,Q337449,,,73870533,CBA000058350,,name,member
Guido Ucelli,Q3779489,Italian engineer (1885–1964),member/fellow,International Academy of the History of Science,Q337449,,,74211330,CBA390864068,http://viaf.org/viaf/74211330,viaf,member
Gustav Hellmann,Q70610,German meteorologist (1854-1939),member/fellow,International Academy of the History of Science,Q337449,,,72151802,,,,member
Gustav Senn,Q67199743,Swiss botanist (1875-1945),member/fellow,International Academy of the History of Science,Q337449,,,13085866,,,,member
Gweneth Whitteridge,Q55418927,president of the History of Medicine Society of the Royal Society of Medicine,member/fellow,International Academy of the History of Science,Q337449,,,74173966,CBA000109458,,name,member
Gérard Simon,Q3124306,,member/fellow,International Academy of the History of Science,Q337449,,,47960102,CBA000094812,,name,member
Günther Hamann,Q1561499,Austrian historian of modern age (1924–1994),member/fellow,International Academy of the History of Science,Q337449,,,39895238,CBA000042129,,name,member
Hans Adolf Eduard Driesch,Q41476,German philosopher and biologist (1867 - 1941),member/fellow,International Academy of the History of Science,Q337449,,,66593001,CBA000027097,http://viaf.org/viaf/66593001,viaf,member
Hans Freudenthal,Q77506,Dutch mathematician (1905–1990),member/fellow,International Academy of the History of Science,Q337449,,,109009424,CBA000034025,,name,member
Hans Kangro,Q50305938,,member/fellow,International Academy of the History of Science,Q337449,,,109580455,CBA000052009,,name,member
Hans Schimank,Q1582298,German physicist and historian of technology (1888–1979),member/fellow,International Academy of the History of Science,Q337449,,,98186631,CBA000090850,,name,member
Hans Wußing,Q91385,German historian of mathematics (1927–2011),member/fellow,International Academy of the History of Science,Q337449,,,61632909,,,,member
Harry Woolf,Q2655250,American historian (1923–2003),member/fellow,International Academy of the History of Science,Q337449,,,51792200,CBA000111390,,name,member
Heinrich Wieleitner,Q101688,German mathematician and historian of mathematics (1874–1931),member/fellow,International Academy of the History of Science,Q337449,,,74627799,CBA346893266,http://viaf.org/viaf/74627799,viaf,member
Helmuth Gericke,Q92406,mathematician (1909–2007),member/fellow,International Academy of the History of Science,Q337449,,,52486002,CBA000036491,,name,member
Henri Berr,Q3100150,French philosopher (1863-1954),member/fellow,International Academy of the History of Science,Q337449,,,14878667,CBA000008389,http://viaf.org/viaf/14878667,viaf,member
Henri Michel,Q21553679,Belgian engineer and historian of astronomy (1885–1981),member/fellow,International Academy of the History of Science,Q337449,,,89296016,CBA000069113,,name,member
Henry Guerlac,Q907710,American historian (1910-1985),member/fellow,International Academy of the History of Science,Q337449,,,266692537,CBA000040744,http://viaf.org/viaf/266692537,viaf,member
Henryk Barycz,Q9287930,Polish historian (1901-1994),member/fellow,International Academy of the History of Science,Q337449,,,34829864,CBA000005928,,name,member
Herbert Dingle,Q628065,British astronomer and historian of science (1890–1978),member/fellow,International Academy of the History of Science,Q337449,,,64394681,CBA000025908,,name,member
Heribert Maria Nobis,Q1339673,German naturalist (1924–2017),member/fellow,International Academy of the History of Science,Q337449,,,15209194,CBA000140515,http://viaf.org/viaf/15209194,viaf,member
Hubert L. L. Busard,Q1633265,Dutch mathematician and historian of mathematics (1923–2007),member/fellow,International Academy of the History of Science,Q337449,,,94394403,CBA000014894,,name,member
Hugo Dingler,Q216036,German philosopher,member/fellow,International Academy of the History of Science,Q337449,,,41849542,CBA000025910,,name,member
Humberto Julio Paoli,Q59576522,,member/fellow,International Academy of the History of Science,Q337449,,,,,,,member
I. Bernard Cohen,Q1347036,American historian of science (1914–2003),member/fellow,International Academy of the History of Science,Q337449,,,109027684,CBA033523925,https://viaf.org/viaf/109027684/,viaf,member
Ian Mueller,Q109826958,American philosopher,member/fellow,International Academy of the History of Science,Q337449,,,27236059,CBA000072029,,name,member
Ignacio González Tascón,Q28134774,,member/fellow,International Academy of the History of Science,Q337449,,,71445075,CBA065318290,,name,member
Ilya Prigogine,Q183509,Russian-Belgian physical chemist (1917–2003),member/fellow,International Academy of the History of Science,Q337449,,,99876969,CBA000081875,,name,member
Imre Tóth,Q558715,German mathematician and historian of mathematics (1921–2010),member/fellow,International Academy of the History of Science,Q337449,,,54190105,,,,member
Isaia Iannaccone,Q47108957,,member/fellow,International Academy of the History of Science,Q337449,,,60724986,CBA000048644,,name,member
István Hajnal,Q1032721,Hungarian historian and palaeographer (1892-1956),member/fellow,International Academy of the History of Science,Q337449,,,9941679,,,,member
Ivan Kanaev,Q4212109,biologist (1893–1984),member/fellow,International Academy of the History of Science,Q337449,,,84366196,,,,member
Ivor Grattan-Guinness,Q1252931,Historian of mathematics and logic (1941-2014),member/fellow,International Academy of the History of Science,Q337449,,,49268407,CBA000039443,http://viaf.org/viaf/49268407,viaf,member
J. Playfair McMurrich,Q6106795,Canadian scholar and anatomy professor (1859–1939),member/fellow,International Academy of the History of Science,Q337449,,,37695671,CBA265681628,,name,member
J. R. Partington,Q903959,British chemist and historian of science (1886–1965),member/fellow,International Academy of the History of Science,Q337449,,,4518147270695535700008,CBA000077550,,name,member
Jacques Payen,Q36035296,French historian,member/fellow,International Academy of the History of Science,Q337449,,,44303493,CBA000078049,,name,member
Jacques Roger,Q3159903,French university teacher (1920-1990),member/fellow,International Academy of the History of Science,Q337449,,,73859332,CBA000086395,,name,member
Jane M. Oppenheimer,Q20011442,American embryologist and historian (1911-1996),member/fellow,International Academy of the History of Science,Q337449,,,116607233,CBA000140521,http://viaf.org/viaf/116607233,viaf,member
Jaroslav Milbauer,Q12023959,Czech chemical engineer and university educator (1880–1959),member/fellow,International Academy of the History of Science,Q337449,,,23165945,,,,member
Jean Filliozat,Q162765,author (1906–1982),member/fellow,International Academy of the History of Science,Q337449,,,109315674,CBA000031848,,name,member
Jean Gayon,Q16267493,French philosopher (1949-2018),member/fellow,International Academy of the History of Science,Q337449,,,22196661,CBA000036020,,name,member
Jean Itard,Q1685587,French mathematician and historian of mathematics (1902–1979),member/fellow,International Academy of the History of Science,Q337449,,,24602958,CBA000049291,,name,member
Jean Piveteau,Q1685766,French scientist (1899–1991),member/fellow,International Academy of the History of Science,Q337449,,,113180315,CBA000080344,,name,member
Jean Rostand,Q287953,French writer (1894–1977),member/fellow,International Academy of the History of Science,Q337449,,,7396528,CBA000087400,,name,member
Jean Théodoridès,Q3174800,French parasitologist (1926–1999),member/fellow,International Academy of the History of Science,Q337449,,,9854174,CBA000101569,http://viaf.org/viaf/9854174,viaf,member
Jean-François Leroy,Q4259300,French botanist (1915-1999),member/fellow,International Academy of the History of Science,Q337449,,,51758273,CBA000140261,http://viaf.org/viaf/51758273,viaf,member
Jekuthiel Ginsburg,Q6176590,American mathematician (1889-1957),member/fellow,International Academy of the History of Science,Q337449,,,28358299,,,,member
Jerzy Bukowski,Q8860691,Polish mechanical engineer,member/fellow,International Academy of the History of Science,Q337449,,,101829303,CBA000014287,http://viaf.org/viaf/18272050,name,member
Jerzy Dobrzycki,Q11724526,Polish astronomer,member/fellow,International Academy of the History of Science,Q337449,,,70396140,CBA000026166,,name,member
Joachim Otto Fleckenstein,Q1690355,mathematician and historian of mathematics (1914-1980),member/fellow,International Academy of the History of Science,Q337449,,,102383208,CBA000032431,,name,member
Joaquim Carreras i Artau,Q1284773,Spanish philosopher (1894-1968),member/fellow,International Academy of the History of Science,Q337449,,,88709550,,,,member
Joaquim de Carvalho,Q1690871,Portuguese philosopher (1892-1958),member/fellow,International Academy of the History of Science,Q337449,,,24610916,,,,member
Johan Nordström,Q6016170,Swedish academic (1891-1967),member/fellow,International Academy of the History of Science,Q337449,,,11176698,CBA000074573,,name,member
Johanna Geertruida van Cittert-Eymers,Q2929162,Dutch physicist (1903-1988),member/fellow,International Academy of the History of Science,Q337449,,,191208936,,,,member
Johannes Steudel,Q1628913,German medical historian (1901–1973),member/fellow,International Academy of the History of Science,Q337449,,,49352250,CBA000098368,,name,member
Johannes Tropfke,Q103468,German mathematician and historian of mathematics (1866–1939),member/fellow,International Academy of the History of Science,Q337449,,,111620876,CBA000103480,,name,member
John E. Murdoch,Q1699969,American philosopher of science (1927–2010),member/fellow,International Academy of the History of Science,Q337449,,,19727789,CBA000072526,http://viaf.org/viaf/19727789,viaf,member
John Farquhar Fulton,Q1700039,American neurophysiologist and historian of science (1899–1960),member/fellow,International Academy of the History of Science,Q337449,,,66595684,CBA000034643,http://viaf.org/viaf/66595684,viaf,member
John Herivel,Q823292,"British science historian, World War II codebreaker at Bletchley Park (1918–2011)",member/fellow,International Academy of the History of Science,Q337449,,,34569346,CBA000044906,,name,member
John Kirtland Wright,Q6243229,American geographer,member/fellow,International Academy of the History of Science,Q337449,,,100214886,CBA000111576,,name,member
John Knight Fotheringham,Q1421803,British historian and chronologist (1874-1936),member/fellow,International Academy of the History of Science,Q337449,,,71384305,CBA138979812,http://viaf.org/viaf/71384305,viaf,member
John North,Q1699765,British historian of science (1934–2008),member/fellow,International Academy of the History of Science,Q337449,,,4947567,CBA000074637,http://viaf.org/viaf/4947567,viaf,member
Josep Maria Millàs i Vallicrosa,Q770131,Spanish arabist and historian (1897-1970),member/fellow,International Academy of the History of Science,Q337449,,,111393708,,,,member
Joseph Bidez,Q549715,Belgian classical philologist (1867–1945),member/fellow,International Academy of the History of Science,Q337449,,,66536121,,,,member
Joseph Ehrenfried Hofmann,Q109387,German historian of mathematics (1900–1973),member/fellow,International Academy of the History of Science,Q337449,,,109195676,CBA000046454,,name,member
Joseph Needham,Q318054,"British biochemist, historian and sinologist (1900–1995)",member/fellow,International Academy of the History of Science,Q337449,,,61550127,CBA000073388,http://viaf.org/viaf/61550127,viaf,member
Joseph Pérès,Q3185532,French mathematician (1890-1962),member/fellow,International Academy of the History of Science,Q337449,,,44291317,,,,member
José Antonio García-Diego,Q5937832,Spanish engineer and writer,member/fellow,International Academy of the History of Science,Q337449,,,29586383,CBA000139887,,name,member
José Augusto Sánchez Pérez,Q4116859,Spanish mathematician (1882–1958),member/fellow,International Academy of the History of Science,Q337449,,,114927865,,,,member
José Joaquín Izquierdo,Q5940781,Mexican university teacher and writer (1893-1974),member/fellow,International Academy of the History of Science,Q337449,,,97926790,CBA000049374,,name,member
José Manuel Sánchez Ron,Q5942350,Spanish university teacher,member/fellow,International Academy of the History of Science,Q337449,,,95160905,CBA000157947,,name,member
José María López Piñero,Q9014442,,member/fellow,International Academy of the History of Science,Q337449,,,56628665,CBA000061983,http://viaf.org/viaf/56628665,viaf,member
Juan Vernet Ginés,Q3810931,Spanish science historian and Arabicist (1923-2011),member/fellow,International Academy of the History of Science,Q337449,,,60028686,CBA000037304,,name,member
Jules Guiart,Q18744761,French physician and parasitologist (1870–1965),member/fellow,International Academy of the History of Science,Q337449,,,27058804,,,,member
Julio Rey Pastor,Q503376,Spanish mathematician (1888–1962),member/fellow,International Academy of the History of Science,Q337449,,,32036272,CBA000084697,http://viaf.org/viaf/32036272,viaf,member
Julio Samsó,Q22443697,"Spanish historian, university teacher and translator",member/fellow,International Academy of the History of Science,Q337449,,,36963929,CBA000089339,,name,member
Julius Ruska,Q77994,German historian (1867–1949),member/fellow,International Academy of the History of Science,Q337449,,,67258172,,,,member
Julius Schuster,Q6457504,"German botanist, palaeobotanist and historian of science (1886–1949)",member/fellow,International Academy of the History of Science,Q337449,,,15543229,CBA000092075,http://viaf.org/viaf/15543229,viaf,member
Karin Figala,Q17496432,Austrian university teacher (1938-2008),member/fellow,International Academy of the History of Science,Q337449,,,8326927,CBA000031769,,name,member
Karl Eduard Rothschuh,Q1730815,German medical historian (1908–1984),member/fellow,International Academy of the History of Science,Q337449,,,27864041,CBA000140075,http://viaf.org/viaf/27864041,viaf,member
Karl Popper,Q81244,"Austrian-British philosopher of science and social and política e falsificationism and for criticism of Plato, Hegel and Marx as totalitarian opponents of open society (1902-1994)",member/fellow,International Academy of the History of Science,Q337449,,,88801921,CBA000081078,http://viaf.org/viaf/88801921,viaf,member
Karl Sudhoff,Q72035,German historian (1853–1938),member/fellow,International Academy of the History of Science,Q337449,,,22214218,CBA000099525,,name,member
Kazimierz Opałek,Q21159838,Polish jurist,member/fellow,International Academy of the History of Science,Q337449,,,44428407,,,,member
Kenneth James Franklin,Q21166488,25 November 1897 - 8 May 1966,member/fellow,International Academy of the History of Science,Q337449,,,39764165,,,,member
Kenneth O. May,Q1398929,American mathematician (1915–1977),member/fellow,International Academy of the History of Science,Q337449,,,55566303,CBA000066504,,name,member
Kostas Gavroglu,Q26807805,Greek university professor and politician,member/fellow,International Academy of the History of Science,Q337449,,,1174147270405835700000,CBA000035990,,name,member
Kurt Vogel,Q1794191,German mathematician and historian of mathematics (1888-1985),member/fellow,International Academy of the History of Science,Q337449,,,34468774,CBA000106204,http://viaf.org/viaf/34468774,viaf,member
Kurt-Reinhard Biermann,Q1793303,German mathematician and historian of mathematics,member/fellow,International Academy of the History of Science,Q337449,,,215826379,CBA000009065,,name,member
Lev Zenkevici,Q4191413,oceanologist (1889–1970),member/fellow,International Academy of the History of Science,Q337449,,,42741053,,,,member
Louis Charles Karpinski,Q3709967,American mathematician (1878–1956),member/fellow,International Academy of the History of Science,Q337449,,,51682762,CBA000052276,,name,member
Louis de Broglie,Q83331,Nobel laureate credited to pioneer the discovery of wave character of matter (1892–1987),member/fellow,International Academy of the History of Science,Q337449,,,4927396,CBA000013077,,name,member
Ludovico Geymonat,Q1225692,Italian philosopher (1908-1991),member/fellow,International Academy of the History of Science,Q337449,,,112899484,CBA000036703,,name,member
Luis Cervera Vera,Q15966219,Spanish architect,member/fellow,International Academy of the History of Science,Q337449,,,305991652,,,,member
Luis de Albuquerque,Q931196,Portuguese teacher and university professor (1917–1992),member/fellow,International Academy of the History of Science,Q337449,,,293653680,,,,member
Lynn Thorndike,Q357483,American historian of medieval science and alchemy (1882–1965),member/fellow,International Academy of the History of Science,Q337449,,,27853305,CBA000102033,"http://viaf.org/viaf/27853305, http://viaf.org/viaf/27853305",viaf,member
Léon Brunschvicg,Q951066,French philosopher (1869–1944),member/fellow,International Academy of the History of Science,Q337449,,,29668791,CBA000013830,http://viaf.org/viaf/29668791,viaf,member
Léon Rosenfeld,Q1063692,Belgian physicist (1904-1974),member/fellow,International Academy of the History of Science,Q337449,,,7430105,CBA000142113,,name,member
Marcel Florkin,Q901352,biochemist (1900-1979),member/fellow,International Academy of the History of Science,Q337449,,,12368834,CBA000032639,,name,member
Marian Biskup,Q941762,author in Polish history and Copernicus (1922-2012),member/fellow,International Academy of the History of Science,Q337449,,,100191683,CBA000009456,,name,member
Mariano Hormigón Blánquez,Q5997775,Spanish mathematician,member/fellow,International Academy of the History of Science,Q337449,,,673495,,,,member
Marie Boas Hall,Q527805,American historian of science (1919 – 2009),member/fellow,International Academy of the History of Science,Q337449,,,108172925,CBA000041948,http://viaf.org/viaf/108172925,viaf,member
Marie-Antoinette Tonnelat,Q3291558,French physicist (1912–1980),member/fellow,International Academy of the History of Science,Q337449,,,76393995,CBA000140464,http://viaf.org/viaf/261526705,name,member
Marie-Thérèse d'Alverny,Q3292283,French historian (1903-1991),member/fellow,International Academy of the History of Science,Q337449,,,41835800,,,,member
Mario Gliozzi,Q16576387,Italian physicist and science historian (1899-1977),member/fellow,International Academy of the History of Science,Q337449,,,88528230,CBA000037764,,name,member
Marshall Clagett,Q325282,American historian of science (1916-2005),member/fellow,International Academy of the History of Science,Q337449,,,24617715,CBA000019135,http://viaf.org/viaf/24617715,viaf,member
Martin Levey,Q22911505,American historian of chemistry,member/fellow,International Academy of the History of Science,Q337449,,,53694,CBA562045518,http://viaf.org/viaf/25369437,viaf,member
Masao Watanabe,Q11562355,Japanese university teacher,member/fellow,International Academy of the History of Science,Q337449,,,71971663,CBA000107686,,name,member
Maurice Caullery,Q919914,French botanist and zoologist (1868-1958),member/fellow,International Academy of the History of Science,Q337449,,,29597710,CBA000017193,,name,member
Maurice Daumas,Q3300631,French chemist and curator (1910-1984),member/fellow,International Academy of the History of Science,Q337449,,,24600276,CBA000023562,,name,member
Max Jammer,Q1390390,Israeli physicist and philosopher of physics (1915-2010),member/fellow,International Academy of the History of Science,Q337449,,,44429416,CBA000049913,,name,member
Max Meyerhof,Q12238301,,member/fellow,International Academy of the History of Science,Q337449,,,46777515,CBA000068966,,name,member
Max Neuburger,Q1913127,Austrian medical historian (1868–1955),member/fellow,International Academy of the History of Science,Q337449,,,17296017,CBA000073690,,name,member
Max Wellmann,Q1913599,German classical philologist and medical historian (1863–1933),member/fellow,International Academy of the History of Science,Q337449,,,30574074,CBA000108620,,name,member
Maxime Laignel-Lavastine,Q3302608,French psychiatrist and historian of medicine (1875–1953),member/fellow,International Academy of the History of Science,Q337449,,,19744364,,,,member
Melvin Kranzberg,Q1919788,American historian (1917–1995),member/fellow,International Academy of the History of Science,Q337449,,,90725559,CBA000055842,,name,member
Michael Sean Mahoney,Q6834262,American scientist (1939-2008),member/fellow,International Academy of the History of Science,Q337449,,,5032785,CBA000063821,http://viaf.org/viaf/236637306,name,member
Mieczysław Radwan,Q16577031,Polish historian (1889-1968),member/fellow,International Academy of the History of Science,Q337449,,,101667548,,,,member
Miguel Asín Palacios,Q2713951,Spanish historian (1871-1944),member/fellow,International Academy of the History of Science,Q337449,,,14765515,,,,member
Miquel Selga i Trullàs,Q17301202,astronomer,member/fellow,International Academy of the History of Science,Q337449,,,38379181,,,,member
Mirko Grmek,Q938645,Croatian-French psychiatrist & historian of medicine,member/fellow,International Academy of the History of Science,Q337449,,,76316497,CBA000040249,http://viaf.org/viaf/76316497,viaf,member
Myles Jackson,Q6947679,American historian of science,member/fellow,International Academy of the History of Science,Q337449,,,306308446,CBA000049490,,name,member
Nathan Reingold,Q59525215,"born:1927|died:2005|; Reingold, Nathan; Reingold, Nathan, 1927-2005; Reingold, Nathan 1927-2004",member/fellow,International Academy of the History of Science,Q337449,,,109908305,CBA000084255,,name,member
Nils von Hofsten,Q5809262,"Swedish professor of anatomy and zoology, rector of Uppsala University (1881-1967)",member/fellow,International Academy of the History of Science,Q337449,,,95190319,,,,member
Olaf Henrik Schmidt,Q29042726,,member/fellow,International Academy of the History of Science,Q337449,,,55300486,,,,member
Olaf Pedersen,Q2204212,Danish historian of astronomy (1920–1997),member/fellow,International Academy of the History of Science,Q337449,,,3759179,CBA000078279,,name,member
Olga E'lina,Q120667341,Russian historian,member/fellow,International Academy of the History of Science,Q337449,,,29011052,,,,member
Olivério Pinto,Q18708650,"Brazilian ornithologist, physician (1896-1981)",member/fellow,International Academy of the History of Science,Q337449,,,118593940,CBA000080172,,name,member
Otto E. Neugebauer,Q111996,Austrian-American mathematician (1899–1990),member/fellow,International Academy of the History of Science,Q337449,,,108610011,CBA000073701,http://viaf.org/viaf/108610011,viaf,member
Otto Seydl,Q58199361,Czech astronomer (1884-1959),member/fellow,International Academy of the History of Science,Q337449,,,39418830,,,,member
Otto Spiess,Q1644048,Swiss mathematician and historian of mathematics (1878-1966),member/fellow,International Academy of the History of Science,Q337449,,,55236324,,,,member
Owen Gingerich,Q1202177,American astronomer (1930–2023),member/fellow,International Academy of the History of Science,Q337449,,,274876596,CBA000037310,http://viaf.org/viaf/274876596,viaf,member
Owsei Temkin,Q75312,Russian-born American medical historian (1902–2002),member/fellow,International Academy of the History of Science,Q337449,,,108866294,CBA000101209,http://viaf.org/viaf/108866294,viaf,member
Paavo Suomalainen,Q11886323,"Finnish ornithologist, zoophysiologist and professor of zoology",member/fellow,International Academy of the History of Science,Q337449,,,60092871,CBA000099738,,name,member
Paul Bockstaele,Q3087839,Belgian mathematician and university teacher (1920-2009),member/fellow,International Academy of the History of Science,Q337449,,,303401264,CBA000010217,,name,member
Paul Diepgen,Q1647083,German medical historian (1878–1966),member/fellow,International Academy of the History of Science,Q337449,,,78821772,CBA000025698,,name,member
Paul Mouy,Q3371882,,member/fellow,International Academy of the History of Science,Q337449,,,2536413,,,,member
Paul-Marie Delaunay,Q3371018,French botanist and pharmacist (1878 – 1958),member/fellow,International Academy of the History of Science,Q337449,,,46892326,,,,member
Paulius Slavėnas,Q4422862,Lithuanian astronomer (1901-1991),member/fellow,International Academy of the History of Science,Q337449,,,62357638,,,,member
Paweł Czartoryski,Q7156155,Polish noble (1924–1999),member/fellow,International Academy of the History of Science,Q337449,,,71413462,,,,member
Paweł Rybicki,Q11814380,,member/fellow,International Academy of the History of Science,Q337449,,,79490118,,,,member
Pearl Kibre,Q26998136,American historian,member/fellow,International Academy of the History of Science,Q337449,,,61565443,CBA000053551,,name,member
Pedro Laín Entralgo,Q2001080,medical researcher (1908-2001),member/fellow,International Academy of the History of Science,Q337449,,,108328947,,,,member
Petre Sergescu,Q18547827,Romanian mathematician,member/fellow,International Academy of the History of Science,Q337449,,,23310340,CBA543230634,http://viaf.org/viaf/23310340,viaf,member
Pierre Brunet,Q29184945,French historian of science (1893-1950),member/fellow,International Academy of the History of Science,Q337449,,,100899114,,,,member
Pierre Costabel,Q3384532,French mathematician and historian (1912-1989),member/fellow,International Academy of the History of Science,Q337449,,,91306892,CBA000021402,http://viaf.org/viaf/91306892,viaf,member
Pierre Dugac,Q2093396,"French mathematician, historian of mathematics and historian (1926–2000)",member/fellow,International Academy of the History of Science,Q337449,,,9845711,,,,member
Pierre Huard,Q17304952,"French doctor, medical historian and anthropologist in Indochina (1901-1983)",member/fellow,International Academy of the History of Science,Q337449,,,49235003,CBA000047758,http://viaf.org/viaf/49235003,viaf,member
Pierre Humbert,Q1804232,French mathematician (1891-1953),member/fellow,International Academy of the History of Science,Q337449,,,46841314,,,,member
Pierre Pansier,Q59525749,,member/fellow,International Academy of the History of Science,Q337449,,,114525625,,,,member
Pierre Speziali,Q55770597,,member/fellow,International Academy of the History of Science,Q337449,,,37055898,CBA000097107,,name,member
Pio Emanuelli,Q3905367,Italian astronomer and historian (1889–1946),member/fellow,International Academy of the History of Science,Q337449,,,5683370,,,,member
Pyotr Kapitsa,Q172844,Soviet physicist,member/fellow,International Academy of the History of Science,Q337449,,,109027873,,,,member
Quido Vetter,Q29259427,,member/fellow,International Academy of the History of Science,Q337449,,,83955299,,,,member
Radha Charan Gupta,Q2125632,Indian mathematician,member/fellow,International Academy of the History of Science,Q337449,,,17158259334302302064,CBA000041105,,name,member
Raleigh Ashlin Skelton,Q7286887,"archivist, librarian and cartographer (1906–1970)",member/fellow,International Academy of the History of Science,Q337449,,,61632823,CBA000140399,http://viaf.org/viaf/61632823,viaf,member
Raul Leitão da Cunha,Q10357610,Brazilian politician (1881-1947),member/fellow,International Academy of the History of Science,Q337449,,,8490156497258017740007,,,,member
Raymond Clare Archibald,Q3930677,Canadian-American mathematician and historian of mathematics (1875–1955),member/fellow,International Academy of the History of Science,Q337449,,,32058154,CBA000002949,http://viaf.org/viaf/32058154,viaf,member
Raymond Klibansky,Q213996,German-Canadian historian of philosophy (1905–2005),member/fellow,International Academy of the History of Science,Q337449,,,164982700,CBA000054462,,name,member
Reijer Hooykaas,Q2855960,Dutch historian (1906-1994),member/fellow,International Academy of the History of Science,Q337449,,,20152165,CBA000047050,,name,member
René Dugas,Q3426129,,member/fellow,International Academy of the History of Science,Q337449,,,29597543,,,,member
René Taton,Q1388382,French historian of science (1915-2004),member/fellow,International Academy of the History of Science,Q337449,,,32003341,CBA000100849,http://viaf.org/viaf/32003341,viaf,member
Ricardo Jorge,Q10361161,Portuguese physician (1858-1939),member/fellow,International Academy of the History of Science,Q337449,,,19687398,CBA247399951,http://viaf.org/viaf/19687398,viaf,member
Richard Harrison Shryock,Q2149716,American medical historian,member/fellow,International Academy of the History of Science,Q337449,,,9912028,CBA367760255,,name,member
Richard Koch,Q2149965,German medical historian and internist (1882–1949),member/fellow,International Academy of the History of Science,Q337449,,,77113246,CBA000054891,,name,member
Rita Levi-Montalcini,Q185007,Italian neurologist (1909–2012),member/fellow,International Academy of the History of Science,Q337449,,,85738872,CBA000060097,,name,member
Robert Gunther,Q2157406,British zoologist (1869–1940),member/fellow,International Academy of the History of Science,Q337449,,,12670671,CBA000041068,http://viaf.org/viaf/12670671,viaf,member
Robert Haardt,Q2157433,Austrian geographer (1884-1962),member/fellow,International Academy of the History of Science,Q337449,,,2278147907503879210007,,,,member
Robert P. Multhauf,Q7348228,American historian of science (1919–2004),member/fellow,International Academy of the History of Science,Q337449,,,88167628,CBA000072349,http://viaf.org/viaf/209019625,name,member
Robert Steele,Q15432539,"British scholar, editor of Roger Bacon",member/fellow,International Academy of the History of Science,Q337449,,,37297979,CBA000097885,,name,member
Roberto Almagià,Q2904093,Italian geographer (1884-1962),member/fellow,International Academy of the History of Science,Q337449,,,68977835,CBA000164926,,name,member
Roberto Marcolongo,Q514677,Italian mathematician (1862-1943),member/fellow,International Academy of the History of Science,Q337449,,,25362227,CBA000064789,http://viaf.org/viaf/143510158,name,member
Roger Hahn,Q52158640,historian of science,member/fellow,International Academy of the History of Science,Q337449,,,9955334,CBA000041717,,name,member
