person_name,person_wikidata_id,person_description,role,organization,org_wikidata_id,start_year,end_year,viaf_id,isiscb_id,cb_viaf_id,match_method,match_source
Angus Armitage,Q59524776,British astronomer,member/fellow,International Academy of the History of Science,Q337449,,,107083395,CBA000003107,,name,member
Anneliese Maier,Q91482,German historian (1905-1971),member/fellow,International Academy of the History of Science,Q337449,,,109222111,CBA000063846,http://viaf.org/viaf/109222111,viaf,member
Antonio García Varela,Q25424027,Spanish scientist and botanical garden director,member/fellow,International Academy of the History of Science,Q337449,,,76685864,,,,member
Armando Cortesão,Q9159897,Portuguese athletics competitor (1891–1977),member/fellow,International Academy of the History of Science,Q337449,,,111865801,,,,member
Arnold Klebs,Q119694,Swiss biologist (1870-1943),member/fellow,International Academy of the History of Science,Q337449,,,35236480,,,,member
Arnold Reymond,Q4795218,"Swiss theologian, philosopher (logician) and historian of science (1874-1958)",member/fellow,International Academy of the History of Science,Q337449,,,41952256,,,,member
Arthur Beer,Q15300084,German astronomer,member/fellow,International Academy of the History of Science,Q337449,,,89091117,CBA000006952,,name,member
Arthur Birembaut,Q2864997,French engineer (1905–1986),member/fellow,International Academy of the History of Science,Q337449,,,303029073,CBA000009348,,name,member
Arthur Erich Haas,Q89495,Austrian physicist (1884–1941),member/fellow,International Academy of the History of Science,Q337449,,,7492038,CBA116750256,,name,member
Arturo Castiglioni,Q3624514,Italian-American historian (1874-1953),member/fellow,International Academy of the History of Science,Q337449,,,79087397,,,,member
Asger Aaboe,Q724489,historian of exact sciences (1922–2007),member/fellow,International Academy of the History of Science,Q337449,,,33191860,CBA000000001,,name,member
Aydın Sayılı,Q4405321,Turkish historian of science (1913–1993),member/fellow,International Academy of the History of Science,Q337449,,,92530893,,,,member
Benjamin Farrington,Q2287201,Irish scholar (1891-1974),member/fellow,International Academy of the History of Science,Q337449,,,22221447,CBA000030791,,name,member
Benno van Dalen,Q29168160,Ph.D. Universiteit Utrecht 1993,member/fellow,International Academy of the History of Science,Q337449,,,54222460,CBA000023097,,name,member
Bernhard Sticker,Q104742,German astronomer (1906-1977),member/fellow,International Academy of the History of Science,Q337449,,,10618290,CBA000098504,,name,member
Bertha Heimann,Q105054708,German chemist and science historian,member/fellow,International Academy of the History of Science,Q337449,,,,,,,member
Bertrand Gille,Q2899549,French historian (1920–1980),member/fellow,International Academy of the History of Science,Q337449,,,73926967,CBA000037163,,name,member
Bogdan Suchodolski,Q2537623,"Polish writer, philosopher, historian and teacher (1903–1992)",member/fellow,International Academy of the History of Science,Q337449,,,100181038,CBA000099504,,name,member
Bohumil Němec,Q7356124,"Czechoslovak politician, academic and biologist (1873-1966)",member/fellow,International Academy of the History of Science,Q337449,,,45083352,CBA000142937,,name,member
Bolesław Hryniewiecki,Q2909327,Polish botanist (1875-1963),member/fellow,International Academy of the History of Science,Q337449,,,101946862,,,,member
Bolesław Olszewicz,Q9176846,Polish cartographer,member/fellow,International Academy of the History of Science,Q337449,,,13307845,,,,member
Boris Rosenfeld,Q893601,Russian mathematician (1917-2008),member/fellow,International Academy of the History of Science,Q337449,,,243662840,,,,member
Boubaker Ben Yahia,Q16259347,Tunisian pharmacist,member/fellow,International Academy of the History of Science,Q337449,,,206059487,,,,member
Carl Benjamin Boyer,Q983561,American mathematician and historian (1906–1976),member/fellow,International Academy of the History of Science,Q337449,,,108315182,CBA000011844,,name,member
Carl Ludwig Siegel,Q61721,German mathematician (1896-1981),member/fellow,International Academy of the History of Science,Q337449,,,61612750,CBA000094419,,name,member
Carlo Alfonso Nallino,Q1075879,Italian islamicist and arabist (1872-1938),member/fellow,International Academy of the History of Science,Q337449,,,29650389,,,,member
Carlos Chagas Filho,Q1042813,Brazilian physician and biologist (1910–2000),member/fellow,International Academy of the History of Science,Q337449,,,108918752,,,,member
Charles Bernard Schmitt,Q5669180,American historian of science and philosophy (1933–1986),member/fellow,International Academy of the History of Science,Q337449,,,76329903,CBA000142156,http://viaf.org/viaf/76329903,viaf,member
Charles Homer Haskins,Q973349,American historian (1870–1937),member/fellow,International Academy of the History of Science,Q337449,,,77225916,CBA000043359,http://viaf.org/viaf/77225916,viaf,member
Charles Singer,Q367890,British historian of science (1876-1960),member/fellow,International Academy of the History of Science,Q337449,,,34479352,CBA000140108,"http://viaf.org/viaf/34479352, http://viaf.org/viaf/34479352",viaf,member
Charles Émile Picard,Q286375,French mathematician (1856-1941),member/fellow,International Academy of the History of Science,Q337449,,,64010393,CBA000079712,,name,member
Chauncey D. Leake,Q5088220,American scientist (1896–1978),member/fellow,International Academy of the History of Science,Q337449,,,110941850,CBA000058693,,name,member
Christian Hünemörder,Q1080408,German historian of student and historian of science (1937–2012),member/fellow,International Academy of the History of Science,Q337449,,,291389912,CBA000048210,,name,member
Christoph Scriba,Q74765,mathematician (1929–2013),member/fellow,International Academy of the History of Science,Q337449,,,261205922,,,,member
Clarisse Doris Hellman,Q1095626,American historian of science (1910–1973),member/fellow,International Academy of the History of Science,Q337449,,,32152335,CBA000044417,,name,member
Clifford Truesdell,Q950146,American mathematician (1919-2000),member/fellow,International Academy of the History of Science,Q337449,,,32058257,CBA000140257,http://viaf.org/viaf/32058257,viaf,member
Conway Zirkle,Q16515008,American botanist and historian of science (1895-1972),member/fellow,International Academy of the History of Science,Q337449,,,3939397,CBA000113370,,name,member
Cornelis de Waard,Q2997497,,member/fellow,International Academy of the History of Science,Q337449,,,100266884,,,,member
Cyril Stanley Smith,Q4424880,British metallurgist (1903–1992),member/fellow,International Academy of the History of Science,Q337449,,,212960724,CBA000095687,http://viaf.org/viaf/212960724,viaf,member
D'Arcy Wentworth Thompson,Q739438,"Scottish biologist, mathematician, and classics scholar (*1860 – †1948)",member/fellow,International Academy of the History of Science,Q337449,,,95300577,CBA000101898,http://viaf.org/viaf/95300577,viaf,member
David C. Lindberg,Q550844,American historian of science (1935–2015),member/fellow,International Academy of the History of Science,Q337449,,,109333288,CBA000060879,http://viaf.org/viaf/109333288,viaf,member
David Eugene Smith,Q1174369,American mathematician (1860–1944),member/fellow,International Academy of the History of Science,Q337449,,,34463266,CBA000095698,http://viaf.org/viaf/34463266,viaf,member
Derek J. de Solla Price,Q764747,British historian and physicist (1922–1983),member/fellow,International Academy of the History of Science,Q337449,,,52650,CBA222202460,http://viaf.org/viaf/28852650,viaf,member
Dirk Jan Struik,Q932815,Dutch mathematician (*1894 – †2000),member/fellow,International Academy of the History of Science,Q337449,,,108650046,CBA000140226,http://viaf.org/viaf/108650046,viaf,member
Dorothea Waley Singer,Q528997,British historian (1882–1964),member/fellow,International Academy of the History of Science,Q337449,,,111569218,,,,member
Douglas McKie,Q3038019,British chemist (1896-1967),member/fellow,International Academy of the History of Science,Q337449,,,5037104,,,,member
Edgar Ashworth Underwood,Q27490425,"medical historian, 1899-1980",member/fellow,International Academy of the History of Science,Q337449,,,92761333,,,,member
Edgar Goldschmid,Q1283893,German medical historian,member/fellow,International Academy of the History of Science,Q337449,,,102457815,,,,member
Edith Heischkel,Q1285014,German medical historian (1906–1987),member/fellow,International Academy of the History of Science,Q337449,,,35519560,CBA000044302,,name,member
Edmund Oscar von Lippmann,Q86401,German chemist (1857-1940),member/fellow,International Academy of the History of Science,Q337449,,,24674371,,,,member
Eduard Izrailevich Kolchinsky,Q75091241,"soviet, Russian philosopher, historian of science",member/fellow,International Academy of the History of Science,Q337449,,,62608406,CBA000152797,,name,member
Eduard Jan Dijksterhuis,Q726217,Dutch historian (1892–1965),member/fellow,International Academy of the History of Science,Q337449,,,19757924,CBA000025795,http://viaf.org/viaf/19757924,viaf,member
Eduard Winter,Q87073,Czech university educator and Roman catholic priest (1896–1982),member/fellow,International Academy of the History of Science,Q337449,,,89506291,CBA573191041,http://viaf.org/viaf/89506291,viaf,member
Eduardo García de Zúñiga,Q5819251,,member/fellow,International Academy of the History of Science,Q337449,,,206164714,,,,member
Edward Rosen,Q5345115,American historian of science (1906-1985),member/fellow,International Academy of the History of Science,Q337449,,,108630454,CBA000087014,http://viaf.org/viaf/108630454,viaf,member
Edward Stewart Kennedy,Q5345454,Science historian,member/fellow,International Academy of the History of Science,Q337449,,,88614348,CBA000140567,http://viaf.org/viaf/88614348,viaf,member
Emil Pop,Q18545546,botanist (1897-1974),member/fellow,International Academy of the History of Science,Q337449,,,18827219,CBA000081009,,name,member
Emilio G. Segrè,Q173028,Italian physicist and Nobel laureate,member/fellow,International Academy of the History of Science,Q337449,,,246165026,CBA000092745,,name,member
Emmanuel Poulle,Q1338383,French medievalist and archivist (1928–2011),member/fellow,International Academy of the History of Science,Q337449,,,54152914,CBA000081402,,name,member
Enrico Bellone,Q3725614,Italian physicist and philosopher (1938–2011),member/fellow,International Academy of the History of Science,Q337449,,,113915319,CBA000007360,,name,member
Eric Forbes,Q18593033,American historian of astronomy (1933–1984),member/fellow,International Academy of the History of Science,Q337449,,,94427880,CBA000139876,http://viaf.org/viaf/94427880,viaf,member
Eric John Holmyard,Q2784497,British historian of science (1891–1959),member/fellow,International Academy of the History of Science,Q337449,,,24681982,CBA719416524,http://viaf.org/viaf/24681982,viaf,member
Erich Hintzsche,Q75999,Swiss physician (1900–1975),member/fellow,International Academy of the History of Science,Q337449,,,268005588,CBA000045900,,name,member
Erna Lesky,Q1356087,Austrian medical historian (1911–1986),member/fellow,International Academy of the History of Science,Q337449,,,275591545,CBA000059871,,name,member
Ernest Coumet,Q2375340,French philosopher and historian of science (1933-2003),member/fellow,International Academy of the History of Science,Q337449,,,59192254,CBA000021542,,name,member
Ernest Wickersheimer,Q3057207,French librarian,member/fellow,International Academy of the History of Science,Q337449,,,9916278,CBA000109505,,name,member
Ernst Zinner,Q70292,German astronomer (1886-1970),member/fellow,International Academy of the History of Science,Q337449,,,54944799,CBA000113346,,name,member
Erwin N. Hiebert,Q28038698,Canadian-American physicist (1919–2012),member/fellow,International Academy of the History of Science,Q337449,,,109420279,CBA000045517,,name,member
Ettore Bortolotti,Q1371855,Italian mathematician (1866–1947),member/fellow,International Academy of the History of Science,Q337449,,,29606361,CBA000011172,,name,member
Eugen Mittwoch,Q106013,Rabbi and Orientalist (1876-1942),member/fellow,International Academy of the History of Science,Q337449,,,34782196,,,,member
